sample_id,condition,has_llm_explanation,model_prediction_without_llm,semantic_attribution_without_llm,schema_gap_note_without_llm,weak_label_boundary_without_llm,completeness_score_without_llm,model_prediction_with_llm,semantic_attribution_with_llm,schema_gap_note_with_llm,weak_label_boundary_with_llm,completeness_score_with_llm,completeness_delta_for_explained_case,native_feature_schema_status,canonical_feature_schema_status,boundary
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0000,A3_llm_runtime_explanation,true,true,true,true,false,0.75,true,true,true,true,1.0,0.25,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0001,A3_llm_runtime_explanation,true,true,true,true,false,0.75,true,true,true,true,1.0,0.25,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0002,A3_llm_runtime_explanation,true,true,true,true,false,0.75,true,true,true,true,1.0,0.25,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0003,A3_llm_runtime_explanation,true,true,true,true,false,0.75,true,true,true,true,1.0,0.25,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0004,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0005,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0006,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0007,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0008,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0009,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0010,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::20251005_四01_ACT-4_云_J20_22#01:0011,A0_baseline_only,false,true,true,true,false,0.75,false,false,false,false,0.0,0.0,aligned,exact,runtime_explanation_not_expert_truth
