review_item_id,item_type,source_id,llm_suggestion,llm_decision,confidence,needs_human_review,source_path,human_reviewer,human_decision,human_notes,validation_status
P21-HR-001,field_semantic,eeg.af3,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-002,field_semantic,eeg.af4,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-003,field_semantic,eeg.f3,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-004,field_semantic,eeg.f4,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-005,field_semantic,eeg.f7,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-006,field_semantic,eeg.f8,role=physiological_load; unit=None; evidence=schema_card field name and measurement group,needs_review,0.72,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/field_semantic_dictionary.csv,,,,pending_human_review
P21-HR-007,weak_label_rule,event_replay_tag,decision=keep_current_rule; action=audit_before_training; basis=derived event tag group pairing is acceptable for event replay weak labels as it captures maneuver dominance without requiring manual expert annotation.,adoptable_after_review,0.68,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/llm_preprocessing_context.json,,,,pending_human_review
P21-HR-008,weak_label_rule,risk_proxy,"decision=keep_current_rule; action=audit_before_training; basis=vehicle intensity plus physiology variation provides a reasonable proxy for risk as it combines maneuver intensity with physiological response, though not manual incident truth.",adoptable_after_review,0.68,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/llm_preprocessing_context.json,,,,pending_human_review
P21-HR-009,weak_label_rule,workload_proxy,"decision=keep_current_rule; action=audit_before_training; basis=physiology variation plus vehicle intensity is suitable for cognitive workload weak labeling as it leverages multimodal signals indicative of workload, without manual ground truth.",adoptable_after_review,0.68,true,docs/artifacts/assets/stage_i_llm_preprocessing/20260614T-stage-i-p20-deepseek-llm-preprocessing-r3-sliced/llm_preprocessing_context.json,,,,pending_human_review
P21-HR-010,schema_gap_policy,BUS6000019110021,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
P21-HR-011,schema_gap_policy,BUS6000019110022,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
P21-HR-012,schema_gap_policy,BUS6000019110023,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
P21-HR-013,schema_gap_policy,BUS6000019110024,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
P21-HR-014,schema_gap_policy,BUS6000019110025,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
P21-HR-015,schema_gap_policy,BUS6000019110026,policy=canonical_fill_nan; reason=missing BUS group remains explicit,candidate,,true,docs/artifacts/assets/stage_i_runtime_service/20260613T-stage-i-runtime-service-smoke-r2-contract/runtime_schema_contract.json,,,,pending_human_review
