corpus,modality_pair,labels,granularity,time_reference,evidence_role,row_type,source_path,layer,task_scope,note,source_type,backend,dataset_id,run_id,subset_id,candidate_name,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,selected_subset
private_stage_h,real_physiology + real_vehicle_timeseries,risk_proxy/workload_proxy/event_replay_tag or T1/T2/T3,window/view,Stage H unified timeline with sortie/pilot/view ids,thesis_weak_label + private_proxy,data_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,,,,,,,,,,,
uab_workload_dataset,physiology + task_context_proxy,subjective workload / public adapter target,window,public prepared sequence timeline,public_adapter/calibration,data_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,,,,,,,,,,,
nasa_csm,physiology + scenario_context_proxy,attention_state / public adapter target,window/sequence,public prepared sequence timeline,public_adapter/calibration,data_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,,,,,,,,,,,
,,,,,,task_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,thesis_weak_label,risk_proxy / workload_proxy / event_replay_tag,weak labels built from private Stage H aligned windows,,,,,,,,,,,
,,,,,,task_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,private_proxy,T1/T2/T3,private proxy benchmark diagnostics only,,,,,,,,,,,
,,,,,,task_boundary,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,public_adapter/calibration,UAB/NASA public tasks,"context proxy only, not real vehicle stream",,,,,,,,,,,
,,,,,,performance,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,public_adapter_baseline,sklearn,uab_workload_dataset,20260506T121000Z-stage-i-public-opt-uab,heat_the_chair,physiology_persistence,rmse,1.4567585657677036,mae,1.1636927899776721,[]
,,,,,,performance,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,calibration_baseline,sklearn,uab_workload_dataset,20260508T125651Z-stage-i-public-opt-uab-robust-prior-r1,heat_the_chair,target_prior_median,rmse,1.433140268927459,mae,1.073958345604878,['heat_the_chair']
,,,,,,performance,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,legacy_public_opt,sklearn,nasa_csm,20260506T161500Z-stage-i-public-opt-nasa-round1,benchmark_only,balanced_linear_svc_context,macro_f1,0.7445135090687961,balanced_accuracy,0.758165694976977,[]
,,,,,,performance,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,torch_uab,torch,uab_workload_dataset,20260508T090700Z-stage-i-public-opt-uab-heat-specialist-r1,heat_the_chair,heat_residual_correction__lr0p0003__wd0p0001,rmse,1.4629949608517474,mae,1.15944445165349,['heat_the_chair']
,,,,,,performance,docs/artifacts/assets/stage_i_public_transfer_boundary/20260607T-stage-i-evidence-closure-r2-transfer-boundary/public_transfer_boundary_summary.json,,,,public_mainline_status,,public_mainline,,summary,,status,1.0,,,
