figure_id,path,referenced_by,issue,action,replacement_path,file_size_bytes,width_px,height_px,dpi_x,dpi_y,visible_label_language,min_font_pt,forbidden_visible_terms_checked,forbidden_visible_terms_found,long_id_overflow_policy,checks,qa_status
evidence_layer_overview,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/evidence_layer_overview.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,evidence_layer_overview is redrawn as a 2x4 report-readable card overview.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/evidence_layer_overview.png,564477,4350,2612,299.9994,299.9994,zh_cn_or_report_abbrev,8.8,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
runtime_payload_schema,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_payload_schema.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,runtime_payload_schema is rendered as a contract comparison instead of a generic schema plot.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_payload_schema.png,302951,3989,1648,299.9994,299.9994,zh_cn_or_report_abbrev,9.8,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
runtime_service_flow,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_service_flow.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,runtime_service_flow is redrawn as a 2x2 Chinese process diagram without internal runtime labels.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_service_flow.png,340932,3750,2069,299.9994,299.9994,zh_cn_or_report_abbrev,9.8,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
runtime_semantic_case,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,uses a compact selected-window axis and replaces near-flat/repeated attribution bars with case-level semantic attribution and task-output ranges.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/runtime_semantic_case.png,310904,3568,2170,299.9994,299.9994,zh_cn_or_report_abbrev,8.6,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,x-axis uses Window 1..N labels instead of sample IDs,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
rigid_body_rotation_audit,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/rigid_body_rotation_audit.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,"rotation rate absence is shown as a matrix, not empty bars.",automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/rigid_body_rotation_audit.png,343617,4108,2544,299.9994,299.9994,zh_cn_or_report_abbrev,9.2,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
weak_label_sweep_ablation,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/weak_label_sweep_ablation.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,weak-label sweep uses a lag-window trend plus task-record coverage instead of a repeated heatmap.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/weak_label_sweep_ablation.png,295109,3993,1687,299.9994,299.9994,zh_cn_or_report_abbrev,9.2,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
chronaris_opt_component_ablation,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/chronaris_opt_component_ablation.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,redundant full-candidate bars are replaced by baseline metric cards and a compact signed relative-change overview.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/chronaris_opt_component_ablation.png,386392,4073,2293,299.9994,299.9994,zh_cn_or_report_abbrev,8.8,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
model_backbone_ablation,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/model_backbone_ablation.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,"model_backbone_ablation uses full task names, full model first, and a zero-centered diverging heatmap.",automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/model_backbone_ablation.png,261319,3204,1717,299.9994,299.9994,zh_cn_or_report_abbrev,8.5,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
task_adapter_ablation,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/task_adapter_ablation.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,task_adapter_ablation uses readable task-input labels and a zero-centered diverging heatmap.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/task_adapter_ablation.png,264582,3196,1694,299.9994,299.9994,zh_cn_or_report_abbrev,8.5,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
public_transfer_boundary,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/public_transfer_boundary.png,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/report.md,defensive boundary copy is replaced by positive Chinese role wording.,automated PNG/table/manifest quality checks completed,docs/artifacts/runs/2026-06-21_thesis-materials-report-figures/public_transfer_boundary.png,321198,4050,1499,299.9994,299.9994,zh_cn_or_report_abbrev,8.5,leakage_safe;native jsonl;canonical payload;partial_blocked;runtime/service;service replay;checkpoint,,not applicable,"{""png_exists"": true, ""png_nonzero"": true, ""table_exists"": true, ""manifest_table_match"": true, ""figure_table_count_match"": true, ""dpi_expected_300"": true, ""image_size_recorded"": true, ""chinese_label_policy_declared"": true, ""min_font_pt_at_least_8_5"": true, ""forbidden_internal_terms_absent"": true, ""long_id_overflow_checked"": true}",pass
